id,kode_provinsi,nama_provinsi,indeks_literasi_digital,satuan,tahun
1,11,ACEH,3.67,POIN,2020
2,12,SUMATERA UTARA,3.37,POIN,2020
3,13,SUMATERA BARAT,3.8,POIN,2020
4,14,RIAU,3.43,POIN,2020
5,15,JAMBI,3.4,POIN,2020
6,16,SUMATERA SELATAN,3.53,POIN,2020
7,17,BENGKULU,3.44,POIN,2020
8,18,LAMPUNG,3.16,POIN,2020
9,19,KEPULAUAN BANGKA BELITUNG,3.65,POIN,2020
10,21,KEPULAUAN RIAU,3.85,POIN,2020
11,31,DKI JAKARTA,3.26,POIN,2020
12,32,JAWA BARAT,3.41,POIN,2020
13,33,JAWA TENGAH,3.72,POIN,2020
14,34,DI YOGYAKARTA,3.38,POIN,2020
15,35,JAWA TIMUR,3.11,POIN,2020
16,36,BANTEN,3.24,POIN,2020
17,51,BALI,3.71,POIN,2020
18,52,NUSA TENGGARA BARAT,3.42,POIN,2020
19,53,NUSA TENGGARA TIMUR,3.76,POIN,2020
20,61,KALIMANTAN BARAT,3.59,POIN,2020
21,62,KALIMANTAN TENGAH,3.68,POIN,2020
22,63,KALIMANTAN SELATAN,3.24,POIN,2020
23,64,KALIMANTAN TIMUR,3.66,POIN,2020
24,65,KALIMANTAN UTARA,3.41,POIN,2020
25,71,SULAWESI UTARA,3.51,POIN,2020
26,72,SULAWESI TENGAH,4.06,POIN,2020
27,73,SULAWESI SELATAN,3.23,POIN,2020
28,74,SULAWESI TENGGARA,3.61,POIN,2020
29,75,GORONTALO,3.71,POIN,2020
30,76,SULAWESI BARAT,3.48,POIN,2020
31,81,MALUKU,3.8,POIN,2020
32,82,MALUKU UTARA,3.19,POIN,2020
33,91,PAPUA BARAT,3.51,POIN,2020
34,94,PAPUA,3.25,POIN,2020
35,11,ACEH,3.57,POIN,2021
36,12,SUMATERA UTARA,3.5,POIN,2021
37,13,SUMATERA BARAT,3.61,POIN,2021
38,14,RIAU,3.35,POIN,2021
39,15,JAMBI,3.41,POIN,2021
40,16,SUMATERA SELATAN,3.44,POIN,2021
41,17,BENGKULU,3.5,POIN,2021
42,18,LAMPUNG,3.52,POIN,2021
43,19,KEPULAUAN BANGKA BELITUNG,3.57,POIN,2021
44,21,KEPULAUAN RIAU,3.68,POIN,2021
45,31,DKI JAKARTA,3.51,POIN,2021
46,32,JAWA BARAT,3.47,POIN,2021
47,33,JAWA TENGAH,3.46,POIN,2021
48,34,DI YOGYAKARTA,3.71,POIN,2021
49,35,JAWA TIMUR,3.55,POIN,2021
50,36,BANTEN,3.37,POIN,2021
51,51,BALI,3.43,POIN,2021
52,52,NUSA TENGGARA BARAT,3.45,POIN,2021
53,53,NUSA TENGGARA TIMUR,3.6,POIN,2021
54,61,KALIMANTAN BARAT,3.58,POIN,2021
55,62,KALIMANTAN TENGAH,3.52,POIN,2021
56,63,KALIMANTAN SELATAN,3.49,POIN,2021
57,64,KALIMANTAN TIMUR,3.62,POIN,2021
58,65,KALIMANTAN UTARA,3.57,POIN,2021
59,71,SULAWESI UTARA,3.53,POIN,2021
60,72,SULAWESI TENGAH,3.51,POIN,2021
61,73,SULAWESI SELATAN,3.47,POIN,2021
62,74,SULAWESI TENGGARA,3.43,POIN,2021
63,75,GORONTALO,3.61,POIN,2021
64,76,SULAWESI BARAT,3.57,POIN,2021
65,81,MALUKU,3.46,POIN,2021
66,82,MALUKU UTARA,3.18,POIN,2021
67,91,PAPUA BARAT,3.37,POIN,2021
68,94,PAPUA,3.61,POIN,2021
69,11,ACEH,3.53,POIN,2022
70,12,SUMATERA UTARA,3.46,POIN,2022
71,13,SUMATERA BARAT,3.53,POIN,2022
72,14,RIAU,3.33,POIN,2022
73,15,JAMBI,3.54,POIN,2022
74,16,SUMATERA SELATAN,3.46,POIN,2022
75,17,BENGKULU,3.55,POIN,2022
76,18,LAMPUNG,3.49,POIN,2022
77,19,KEPULAUAN BANGKA BELITUNG,3.52,POIN,2022
78,21,KEPULAUAN RIAU,3.59,POIN,2022
79,31,DKI JAKARTA,3.59,POIN,2022
80,32,JAWA BARAT,3.6,POIN,2022
81,33,JAWA TENGAH,3.61,POIN,2022
82,34,DI YOGYAKARTA,3.64,POIN,2022
83,35,JAWA TIMUR,3.58,POIN,2022
84,36,BANTEN,3.48,POIN,2022
85,51,BALI,3.45,POIN,2022
86,52,NUSA TENGGARA BARAT,3.44,POIN,2022
87,53,NUSA TENGGARA TIMUR,3.39,POIN,2022
88,61,KALIMANTAN BARAT,3.64,POIN,2022
89,62,KALIMANTAN TENGAH,3.6,POIN,2022
90,63,KALIMANTAN SELATAN,3.48,POIN,2022
91,64,KALIMANTAN TIMUR,3.62,POIN,2022
92,65,KALIMANTAN UTARA,3.21,POIN,2022
93,71,SULAWESI UTARA,3.4,POIN,2022
94,72,SULAWESI TENGAH,3.44,POIN,2022
95,73,SULAWESI SELATAN,3.5,POIN,2022
96,74,SULAWESI TENGGARA,3.57,POIN,2022
97,75,GORONTALO,3.35,POIN,2022
98,76,SULAWESI BARAT,3.32,POIN,2022
99,81,MALUKU,3.54,POIN,2022
100,82,MALUKU UTARA,3.49,POIN,2022
101,91,PAPUA BARAT,3.55,POIN,2022
102,94,PAPUA,3.62,POIN,2022
